x0 >= -0.3035311561
x0 <= -0.2985528119
x1 >= -0.0095492966
x1 <= 0.0095492966
x2 >= 0
x2 <= 0
x3 >= 0.3181818182
x3 <= 0.5
x4 >= 0.0833333333
x4 <= 0.1666666667
+y0 +y0 <= 0
+y1 +y1 <= 0
+y2 +y2 <= 0
+y3 +y3 <= 0
+y4 +y4 <= 0
+y5 +y5 <= 0
+y6 +y6 <= 0
+y7 +y7 <= 0
+y8 +y8 <= 0
+y9 +y9 <= 0
+y10 +y10 <= 0
+y11 +y11 <= 0
+y12 +y12 <= 0
+y13 +y13 <= 0
+y14 +y14 <= 0
+y15 +y15 <= 0
+y16 +y16 <= 0
+y17 +y17 <= 0
+y18 +y18 <= 0
+y19 +y19 <= 0
+y20 +y20 <= 0
+y21 +y21 <= 0
+y22 +y22 <= 0
+y23 +y23 <= 0
+y24 +y24 <= 0
+y25 +y25 <= 0
+y26 +y26 <= 0
+y27 +y27 <= 0
+y28 +y28 <= 0
+y29 +y29 <= 0
+y30 +y30 <= 0
+y31 +y31 <= 0
+y32 +y32 <= 0
+y33 +y33 <= 0
+y34 +y34 <= 0
+y35 +y35 <= 0
+y36 +y36 <= 0
+y37 +y37 <= 0
+y38 +y38 <= 0
+y39 +y39 <= 0
+y40 +y40 <= 0
+y41 +y41 <= 0
+y42 +y42 <= 0
+y43 +y43 <= 0
+y44 +y44 <= 0
+y45 +y45 <= 0
+y46 +y46 <= 0
+y47 +y47 <= 0
+y48 +y48 <= 0
+y49 +y49 <= 0
